Date,sym,track,Return%,Stopped
2025-05-02,DUOL,A,1.3846242975493808,False
2025-05-07,ASST,B,95.14159292035399,False
2025-05-08,IONQ,A,20.584767076307514,False
2025-05-12,SHOP,A,-2.677816405148932,False
2025-05-29,ELF,A,-1.7105685833600992,False
2025-06-16,ROKU,A,3.5260115606936386,False
2025-06-17,STRL,B,2.556920852909286,False
2025-06-26,CORZ,B,-12.000000000000004,True
2025-07-09,VRNA,B,0.44860169895962476,False
2025-07-09,ETHA,B,27.929422985216984,False
2025-07-10,BITX,B,5.1518711193153095,False
2025-07-10,BITU,B,5.005268703898843,False
2025-07-10,BOOT,B,-3.420627595754503,False
2025-07-15,MP,A,12.634534394010286,False
2025-07-15,LITE,B,22.017892806195235,False
2025-07-16,RBLX,B,8.830448664090074,False
2025-07-17,PGY,B,1.8644067796610195,False
2025-07-23,ABVX,B,0.7142857142857276,False
2025-07-23,GEV,B,2.6755480660699873,False
2025-07-24,BE,B,79.23230490018149,False
2025-07-29,CLS,B,-2.6534653465346603,False
2025-07-31,MOD,A,-4.214748100197023,False
2025-07-31,AMSC,B,-8.249780123131055,False
2025-08-04,COMM,B,6.064782908339082,False
2025-08-04,W,A,-2.197507704676404,False
2025-08-07,MKSI,A,0.8407517309594545,False
2025-08-07,CDE,B,52.428368794326246,False
2025-08-07,ROAD,A,9.984196337268763,False
2025-08-12,INSM,B,17.327868852459005,False
2025-08-13,FL,B,-3.6153846153846203,False
2025-08-22,UI,A,25.936290017407103,False
2025-09-04,AEO,B,0.4257583821181578,False
2025-09-08,HOOD,A,22.33191344351679,False
2025-09-09,NBIS,B,30.975741746761393,False
2025-09-29,TLRY,B,-11.999999999999995,True
2025-10-21,HAL,A,-2.001455604075694,False
2025-10-27,RNA,B,0.8000000000000033,False
2025-10-28,W,A,-8.871111111111114,True
2025-10-29,TSEM,B,9.7125748502994,False
2025-10-30,COMM,B,-0.6532066508313505,False
2025-10-30,GH,A,7.392473118279576,False
2025-10-31,TVTX,B,-12.000000000000004,True
2025-11-05,LITE,A,32.6734126492337,False
2025-11-14,CDTX,B,1.0840108401083943,False
2025-11-17,JAZZ,A,-7.999999999999997,True
2025-11-18,WBD,B,16.54706627268889,False
2025-11-19,EXAS,B,17.266187050359704,False
2025-11-19,DY,A,-4.356484939009212,False
2025-11-26,URBN,A,-5.62224399804018,False
2025-12-19,APGE,B,1.6806722689075544,False
2025-12-29,PRAX,B,-12.0,True
2026-01-02,CDTX,B,0.15834954531058876,False
2026-01-07,RVMD,B,14.526336286632269,False
2026-01-15,PEN,A,-5.557103064066849,False
2026-02-11,VRT,A,1.0784120086904956,False
2026-02-24,WLK,B,1.8719400979168694,False
2026-02-27,DELL,A,9.839236875458608,False
2026-03-27,AGX,A,7.103760114231332,False
2026-04-24,INTC,B,31.19161618609158,False
2026-05-05,STRL,B,-12.000000000000004,True
2026-05-06,ACLS,B,-12.000000000000007,True
2026-05-06,DELL,B,50.015829145728624,False
2026-06-01,TWLO,B,-12.000000000000002,True
2026-06-17,QURE,B,-11.999999999999993,True
2026-06-22,APGE,B,0.27159562429270856,False
2026-06-26,FROG,B,8.25530943137703,False
2026-06-30,ONTO,B,-11.999999999999996,True
